x   y   freq
14  12  0
14  13  0
14  14  0
14  15  0.081081077
14  16  0
14  17  0
14  18  0
14  19  0
14  20  0
14  21  0
14  22  0
14  23  0
14  24  0
14  25  0
14  26  0
14  27  0
14  28  0
14  29  0
14  30  0.027027028
14  31  0
14  32  0
14  33  0
14  34  0
14  35  0
14  36  0
14  37  0
14  38  0.054054055
14  39  0
14  40  0.59459460
14  41  0
14  42  0
14  43  0
14  44  0.027027028
14  45  0
14  46  0
14  47  0
14  48  0
14  49  0
14  50  0
14  51  0
14  52  0
14  53  0
14  54  0
14  55  0
14  56  0
14  57  0
14  58  0
14  59  0
14  60  0
14  61  0
14  62  0
14  63  0
14  64  0.054054055
14  65  0.054054055
14  66  0
14  67  0
14  68  0
14  69  0
14  70  0
